dataset,condition,root_path,animal,session,base_dir,data_dir,layout,n_hc_channels,hc_channel_ids,n_ms_tetrodes,ms_tetrode_ids,n_tt_units,hc_subregions,ms_subregions
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100602,7,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",3,"1,2,4",7,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100602,8,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",15,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100616,1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",45,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100616,2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",37,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100616,5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",22,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,201007286,6,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",3,"1,3,4",30,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161695,1824,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824,session_root,1,"27",3,"1,3,4",13,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161695,3135,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135,session_root,1,"27",4,"1,2,3,4",23,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161750,1417,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/1417,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/1417,session_root,1,"17",4,"1,2,3,4",9,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161750,2125,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/2125,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/2125,session_root,1,"15",4,"1,2,3,4",11,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161750,3741,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/3741,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/3741,session_root,1,"17",3,"1,2,3",20,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161750,5054,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5054,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5054,session_root,1,"15",4,"1,2,3,4",19,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161750,5862,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5862,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5862,session_root,1,"15",3,"1,2,3",18,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161865,104105,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/104105,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/104105,session_root,1,"31",4,"1,2,3,4",11,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161865,106107,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/106107,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/106107,session_root,1,"31",3,"2,3,4",9,unknown,unknown
